id;title;price;url;city;surface;description;date_creation;date_suppression;type
1322297536;Cave saine 4m2 Paris 18e;55;//www.leboncoin.fr/locations/1322297536.htm?ca=12_s;Paris 18ème;4.0;A louer: cave 2 m x 2m en 1er sous sol d'un immeuble ancien sécurisé (digicode et clé/interphone).<br>Cave au 1er sous-sol (ventilé, un peu de lumière naturelle de la cour), propre, fermée, éclairée. <br>Rue de Clignancourt, secteur Ramey / Custine, proche Mo Chateau Rouge ou Anvers.<br>Disponible au 1er novembre voire un peu avant.;2017-10-19;2017-10-24;
1321608388;Cave voûtée 10m2 - garde meuble;140;//www.leboncoin.fr/locations/1321608388.htm?ca=12_s;Paris 10ème;;;2017-10-19;2017-10-24;
1322105221;Cave entrepot;45;//www.leboncoin.fr/locations/1322105221.htm?ca=12_s;Paris 11ème;15.0;PARIS 11e metro rue saint maur ou père lachaise<br>Dans immeuble sécurisé cave , entrepot fermé sous surveillance video;2017-10-19;2017-10-24;
1322061162;Cave / Espace de stockage;210;//www.leboncoin.fr/locations/1322061162.htm?ca=12_s;Paris 6ème;12.0;;2017-10-19;2017-10-24;
1322025151;Loue Cave Fermée et seche Metro Commerce;200;//www.leboncoin.fr/locations/1322025151.htm?ca=12_s;Paris 15ème;;Loue Belle cave fermée et seche. <br>Immeuble occupé par propriétaires occupants, avec double digicode.<br>Adresse: 30 rue Gramme, 75015 Paris <br>Premier Contact par email.;2017-10-19;2017-10-24;
1321944399;Cave boulevard periere;50;//www.leboncoin.fr/locations/1321944399.htm?ca=12_s;Paris 17ème;14.0;;2017-10-19;2017-10-24;
1321892050;Cave 3m² de stockage Bd St Michel/Val de Grâce;40;//www.leboncoin.fr/locations/1321892050.htm?ca=12_s;Paris 5ème;;Bonjour,<br>Louez une cave saine, légèrement voûtée, comme espace de stockage, de 3m² à Paris 5ème, angle Bd St Michel et rue du Val de Grâce, dans un immeuble haussmannien pour y stocker :<br>Des affaires personnelles (documents, meubles, vêtements, ...), <br>De l'archivage,<br>De l'outillage pour une entreprise.<br>Accès immeuble par digicode pour la porte d'entrée principale et une clé pour accéder aux caves.<br>Localisation : 1er sous-sol.<br>RER : Port Royal et Bus 38 à proximité.<br>Sol en terre battue.<br>Palettes laissées à disposition pour y déposer vos affaires hors sol.<br>Murs latéraux en parpaings.<br>Portes en bois munie d'un verrou avec serrure.<br>L=2,45m<br>L= 1,22m<br>H= 2,30m.<br>Disponible de suite.<br>Contrat annuel de location avec tacite reconduction.<br>Prix mensuel CC : 40,00 € (Loyer 35,00 € + 5,00 € de charges).<br>Caution deux mois : 70,00 €<br>Renseignement et visite : 06 52 12 38 22<br>Je ne réponds pas aux MAILS ou aux SMS ou aux numéros masqués, mais je vous rappelle si vous me laissez votre numéro de mobile en cas d'absence.<br>Merci;2017-10-19;2017-10-24;
1321805239;Location cave ;75;//www.leboncoin.fr/locations/1321805239.htm?ca=12_s;Paris 15ème;3.0;;2017-10-18;2017-10-24;
1321618476;Studio 31m² + balcon + cave;1042;//www.leboncoin.fr/locations/1321618476.htm?ca=12_s;Paris 15ème;;;2017-10-18;2017-10-24;
1320903316;T2 meublé 20éme Balcon Parking Cave 4éme éta ascen;1450;//www.leboncoin.fr/locations/1320903316.htm?ca=12_s;Paris 4ème;;17 cour du 7éme art 4éme étage donnant sur rue piétonne, grand couloir d'entrée avec penderie et meubles, salon meublé, cuisine séparée aménagée (lave linge, plaques, four, micro-ondes), chambre avec penderie , meubles et balcons, salle de bain et WC séparé, digicode en 1ére entrée et interphone sous sas, cave bétonnée aménagée, parking en sous sol, libre 1er décembre<br>loyer 1350 et 100 de provisions pour charges<br>Chaque candidat DOIT fournir un minimum d'informations par mail pour valider sa candidature;2017-10-18;2017-10-24;
